OrderDate,Year,Month,Region,Category,SubCategory,Segment,Quantity,Discount,Sales,Profit,Margin
2024-02-01,2024,2,Asia Pacific,Technology,Copiers,Corporate,1,0.0,723.09,230.21,0.31836977416365875
2023-02-09,2023,2,Asia Pacific,Office Supplies,Paper,Consumer,2,0.15,55.36,1.49,0.026914739884393062
2022-12-01,2022,12,Europe,Furniture,Bookcases,Corporate,5,0.0,1080.52,179.34,0.16597564135786474
2023-06-17,2023,6,Asia Pacific,Furniture,Bookcases,Corporate,3,0.0,881.63,164.17,0.18621190295248571
2022-12-04,2022,12,Latin America,Furniture,Tables,Home Office,2,0.0,617.13,19.03,0.030836290570868376
2023-12-13,2023,12,Europe,Office Supplies,Art,Corporate,2,0.2,246.66,13.42,0.054406875861509774
2021-10-16,2021,10,Asia Pacific,Office Supplies,Paper,Consumer,3,0.2,112.03,-5.58,-0.04980808711952156
2022-12-27,2022,12,Latin America,Furniture,Chairs,Home Office,3,0.0,1250.18,77.16,0.06171911244780751
2023-05-14,2023,5,Asia Pacific,Technology,Copiers,Corporate,2,0.3,1749.24,89.54,0.05118794447874506
2022-11-13,2022,11,Asia Pacific,Office Supplies,Paper,Consumer,3,0.4,248.57,-52.97,-0.21309892585589574
2024-11-09,2024,11,North America,Furniture,Furnishings,Consumer,2,0.0,2022.1,206.93,0.10233420701251175
2022-10-26,2022,10,Middle East & Africa,Furniture,Furnishings,Corporate,1,0.2,210.77,-23.42,-0.11111638278692414
2024-11-11,2024,11,North America,Technology,Phones,Consumer,2,0.2,2549.44,73.11,0.028676885904355465
2023-12-13,2023,12,Europe,Office Supplies,Art,Corporate,1,0.1,129.78,8.96,0.06903991370010788
2021-07-17,2021,7,Europe,Office Supplies,Art,Home Office,2,0.0,223.88,52.32,0.23369662319099518
2021-05-27,2021,5,Europe,Technology,Phones,Corporate,3,0.15,1112.1,192.18,0.17280820070137579
2021-12-12,2021,12,Middle East & Africa,Furniture,Chairs,Consumer,3,0.2,784.16,-106.66,-0.13601815955927363
2024-02-29,2024,2,Latin America,Furniture,Chairs,Corporate,1,0.0,278.78,42.48,0.15237821938446086
2022-05-25,2022,5,Middle East & Africa,Office Supplies,Paper,Consumer,4,0.2,184.36,-8.58,-0.04653937947494033
2024-11-16,2024,11,Latin America,Office Supplies,Binders,Corporate,3,0.4,323.5,-48.31,-0.1493353941267388
